"Client ID",Nom,Prenom,"Date de naissance",Email
XY100001,Test,Elmor,21/12/1990,fz@gmail.com
EB100002,Yum,Chan,24/08/1990,yum@gmail.com
ZF100003,Doe,John,15/05/1985,john.doe@example.com
LP100004,Smith,Emily,02/11/1998,emily.smith@email.com
MW100005,Williams,Michael,10/07/1982,michaelw@fakemail.com
RK100006,Jones,Sophia,30/09/1995,sophia.jones@examplemail.com
QW100007,Brown,Liam,18/03/1989,liam.brown@fakedomain.com
PL100008,Taylor,Olivia,09/06/1993,olivia.taylor@samplemail.com
UY100009,Anderson,Noah,07/01/1977,noah.anderson@falsemail.com
ZX100010,Martin,Emma,25/09/2000,emma.martin@dummyemail.com
